,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,PRC_FULL_PAYMENT,MONTHLY_AVG_PURCHASE,MONTHLY_AVG_CASH_ADVANCE,LIMIT_USAGE,PAYMENT_MINPAYMENT,PURCHASE_TYPE_NONE,PURCHASE_TYPE_ONEOFF_INSTALLMENT,PURCHASE_TYPE_ONE_OFF
0,0.82,0.0,95.4,0.17,0.0,0.08,0.0,0,2.0,0.0,7.95,0.0,0.04,1.45,0,0,0
1,0.91,0.0,0.0,0.0,0.0,0.0,0.25,4,0.0,0.22,0.0,536.91,0.46,3.83,1,0,0
2,1.0,773.17,0.0,1.0,1.0,0.0,0.0,0,12.0,0.0,64.43,0.0,0.33,0.99,0,0,1
3,0.64,1499.0,0.0,0.08,0.08,0.0,0.08,1,1.0,0.0,124.92,17.15,0.22,0.0,0,0,1
4,1.0,16.0,0.0,0.08,0.08,0.0,0.0,0,1.0,0.0,1.33,0.0,0.68,2.77,0,0,1
5,1.0,0.0,1333.28,0.67,0.0,0.58,0.0,0,8.0,0.0,111.11,0.0,1.01,0.58,0,0,0
6,1.0,6402.63,688.38,1.0,1.0,1.0,0.0,0,64.0,1.0,590.92,0.0,0.05,32.08,0,1,0
7,1.0,0.0,436.2,1.0,0.0,1.0,0.0,0,12.0,0.0,36.35,0.0,0.79,1.28,0,0,0
8,1.0,661.49,200.0,0.33,0.08,0.25,0.0,0,5.0,0.0,71.79,0.0,0.14,2.21,0,1,0
9,0.55,1281.6,0.0,0.17,0.17,0.0,0.0,0,3.0,0.0,106.8,0.0,0.01,11.61,0,0,1
10,1.0,0.0,920.12,1.0,0.0,1.0,0.0,0,12.0,0.0,76.68,0.0,1.06,0.5,0,0,0
11,0.82,1492.18,0.0,0.25,0.25,0.0,0.0,0,6.0,0.0,124.35,0.0,0.32,4.54,0,0,1
12,1.0,2500.23,717.76,1.0,0.25,0.92,0.0,0,26.0,0.25,268.17,0.0,0.51,1.24,0,1,0
13,1.0,419.96,1717.97,0.75,0.17,0.75,0.0,0,26.0,0.08,178.16,0.0,0.12,6.59,0,1,0
14,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,28.9,0.92,0.81,1,0,0
15,1.0,0.0,1611.7,0.5,0.0,0.5,0.17,4,11.0,0.0,134.31,191.79,0.86,0.94,0,0,0
16,0.88,0.0,0.0,0.0,0.0,0.0,0.25,3,0.0,0.0,0.0,348.03,0.69,1.04,1,0,0
17,0.45,0.0,519.0,0.42,0.0,0.33,0.0,0,8.0,0.25,43.25,0.0,0.02,3.48,0,0,0
18,1.0,166.0,338.35,0.67,0.08,0.58,0.0,0,9.0,0.0,42.03,0.0,0.15,2.31,0,1,0
19,1.0,0.0,398.64,1.0,0.0,1.0,0.0,0,12.0,0.0,33.22,0.0,0.89,0.08,0,0,0
20,1.0,0.0,176.68,0.67,0.0,0.67,0.0,0,8.0,0.0,14.72,0.0,1.01,0.02,0,0,0
21,1.0,5910.04,449.91,1.0,0.92,1.0,0.33,6,92.0,0.0,530.0,19.09,0.57,1.25,0,1,0
22,0.64,0.0,815.9,1.0,0.0,1.0,0.0,0,17.0,0.0,67.99,0.0,0.07,27.33,0,0,0
23,0.82,3454.56,793.79,1.0,0.08,0.92,0.33,13,13.0,0.0,354.03,664.53,0.42,6.65,0,1,0
24,1.0,0.0,0.0,0.0,0.0,0.0,0.36,4,0.0,0.0,0.0,72.63,0.89,0.86,1,0,0
25,1.0,0.0,399.6,1.0,0.0,1.0,0.0,0,12.0,0.0,33.3,0.0,0.06,1.32,0,0,0
26,1.0,102.0,0.0,0.17,0.17,0.0,0.25,5,2.0,0.0,8.5,20.4,0.95,0.92,0,0,1
27,1.0,0.0,233.28,1.0,0.0,1.0,0.0,0,12.0,0.0,19.44,0.0,0.13,1.26,0,0,0
28,1.0,204.55,182.5,0.67,0.17,0.42,0.83,16,8.0,0.0,32.25,186.35,0.68,0.97,0,1,0
29,1.0,0.0,100.0,0.42,0.0,0.42,0.0,0,5.0,0.0,8.33,0.0,0.0,1.01,0,0,0
30,1.0,1013.2,2024.81,1.0,0.17,1.0,0.5,10,64.0,0.0,253.17,265.3,0.93,1.29,0,1,0
31,1.0,400.0,947.71,1.0,0.08,1.0,0.17,2,45.0,0.0,112.31,14.65,0.19,2.52,0,1,0
32,1.0,324.95,0.0,0.08,0.08,0.0,0.17,3,3.0,0.0,27.08,99.13,0.64,0.69,0,0,1
33,1.0,636.79,0.0,0.92,0.92,0.0,0.0,0,11.0,0.3,53.07,0.0,0.1,2.16,0,0,1
34,0.73,0.0,547.28,1.0,0.0,1.0,0.0,0,14.0,0.0,45.61,0.0,0.32,0.49,0,0,0
35,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,8.27,0.92,0.55,1,0,0
36,1.0,0.0,0.0,0.0,0.0,0.0,0.73,11,0.0,0.0,0.0,806.67,0.83,0.82,1,0,0
37,1.0,1642.17,738.38,0.75,0.5,0.75,0.33,7,41.0,0.0,198.38,141.47,0.81,1.05,0,1,0
38,1.0,204.0,0.0,0.08,0.08,0.0,0.33,12,2.0,0.0,17.0,243.81,0.7,0.6,0,0,1
39,0.45,963.24,0.0,0.08,0.08,0.0,0.33,6,6.0,0.33,80.27,514.47,0.19,27.88,0,0,1
40,0.73,0.0,0.0,0.0,0.0,0.0,0.25,3,0.0,0.17,0.0,261.09,0.37,10.82,1,0,0
41,0.91,786.3,740.29,0.58,0.42,0.33,0.25,11,27.0,0.11,127.22,182.37,0.26,3.48,0,1,0
42,1.0,203.82,0.0,0.08,0.08,0.0,0.0,0,1.0,0.0,16.98,0.0,0.91,0.48,0,0,1
43,1.0,0.0,0.0,0.0,0.0,0.0,0.08,1,0.0,0.0,0.0,123.47,0.91,1.18,1,0,0
44,1.0,469.8,1055.64,1.0,0.33,1.0,0.0,0,20.0,0.0,127.12,0.0,0.63,1.08,0,1,0
45,1.0,97.0,340.0,0.33,0.08,0.33,0.17,2,5.0,0.0,36.42,15.39,0.93,0.0,0,1,0
46,0.5,0.0,109.74,0.38,0.0,0.25,0.12,1,3.0,0.0,13.72,126.71,0.28,1.2,0,0,0
47,1.0,0.0,0.0,0.0,0.0,0.0,0.5,7,0.0,0.0,0.0,165.07,0.93,0.0,1,0,0
48,1.0,1402.93,987.67,1.0,0.67,1.0,0.0,0,87.0,0.92,199.22,0.0,0.07,14.48,0,1,0
49,1.0,507.5,0.0,0.17,0.17,0.0,0.08,2,3.0,0.08,42.29,57.92,0.22,2.05,0,0,1
50,1.0,646.07,255.35,0.62,0.38,0.25,0.83,29,9.0,0.0,112.68,896.2334000000003,0.41,8.01,0,1,0
51,1.0,2221.74,886.11,0.67,0.58,0.5,0.0,0,18.0,0.0,258.99,0.0,0.43,1.06,0,1,0
52,1.0,0.0,0.0,0.0,0.0,0.0,0.25,3,0.0,0.0,0.0,26.78,0.45,1.19,1,0,0
53,0.89,1979.22,0.0,0.67,0.67,0.0,0.11,1,11.0,0.2,219.91,220.14,0.15,23.48,0,0,1
54,0.64,0.0,310.0,0.67,0.0,0.67,0.0,0,8.0,0.0,25.83,0.0,0.01,137.18110000000036,0,0,0
55,1.0,1283.9,0.0,0.25,0.25,0.0,0.0,0,6.0,0.0,106.99,0.0,0.22,0.0,0,0,1
56,1.0,313.27,0.0,0.25,0.25,0.0,0.42,5,4.0,0.0,26.11,55.71,0.91,0.0,0,0,1
57,1.0,4789.09,428.53,0.92,0.92,0.5,0.0,0,42.0,0.08,434.8,0.0,0.32,4.33,0,1,0
58,1.0,0.0,0.0,0.0,0.0,0.0,0.18,3,0.0,0.0,0.0,20.42,0.99,0.48,1,0,0
59,1.0,0.0,229.0,0.42,0.0,0.33,0.33,4,6.0,0.0,19.08,80.88,0.92,1.11,0,0,0
60,0.73,113.0,0.0,0.17,0.17,0.0,0.0,0,2.0,0.0,9.42,0.0,0.29,6.4,0,0,1
61,1.0,66.2,0.0,0.08,0.08,0.0,0.0,0,1.0,0.0,5.52,0.0,0.97,0.4,0,0,1
62,0.91,0.0,0.0,0.0,0.0,0.0,0.55,7,0.0,0.09,0.0,347.24,0.2,18.09,1,0,0
63,0.09,840.0,0.0,0.08,0.08,0.0,0.0,0,1.0,0.0,70.0,0.0,0.0,0.0,0,0,1
64,1.0,0.0,1887.64,1.0,0.0,1.0,0.08,4,61.0,0.08,157.3,133.83,1.04,1.13,0,0,0
65,1.0,325.21,87.12,0.58,0.33,0.17,0.0,0,11.0,0.0,34.36,0.0,0.98,0.87,0,1,0
66,0.88,0.0,0.0,0.0,0.0,0.0,0.12,1,0.0,0.0,0.0,113.55,0.54,0.81,1,0,0
67,1.0,0.0,0.0,0.0,0.0,0.0,0.42,6,0.0,0.0,0.0,31.91,0.63,1.53,1,0,0
68,1.0,190.6,72.9,0.67,0.08,0.58,0.0,0,8.0,0.08,21.96,0.0,0.67,6.87,0,1,0
69,1.0,1363.69,0.0,0.33,0.33,0.0,0.0,0,4.0,0.0,113.64,0.0,1.0,1.76,0,0,1
70,1.0,0.0,419.1,0.92,0.0,0.83,0.33,4,11.0,0.0,34.93,52.12,0.88,0.59,0,0,0
